index,close,MACD_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns
2022-01-10,117.97000408172607,0,400,400.0,47188.00163269043,102811.99836730957,150000.0,,,,
2022-01-11,119.35999813079835,0,400,0.0,47743.999252319336,102811.99836730957,150555.9976196289,0.0037066507975260787,0.0037066507975260787,0.011782605755521702,0.011782605755521702
2022-01-12,120.0080032348633,0,400,0.0,48003.20129394532,102811.99836730957,150815.19966125488,0.001721632121762573,0.005434664408365819,0.005428997270549907,0.0172755707605583
2022-01-13,117.20799713134767,0,400,0.0,46883.19885253907,102811.99836730957,149695.19721984863,-0.0074263233674184415,-0.002032018534342539,-0.02333182811179546,-0.006459327998755704
2022-01-14,118.07499675750734,0,400,0.0,47229.99870300294,102811.99836730957,150041.9970703125,0.002316706593829654,0.00027998046874988525,0.007397102991087534,0.0008899946778717638
2022-01-18,115.47199935913085,0,400,0.0,46188.79974365234,102811.99836730957,149000.7981109619,-0.006939383503824281,-0.006661345926920581,-0.022045288755944692,-0.021174914267737877
2022-01-19,114.10000267028809,0,400,0.0,45640.001068115234,102811.99836730957,148451.9994354248,-0.003683192858661144,-0.010320003763834573,-0.011881639674183653,-0.032804961240460506
2022-01-20,112.98900451660155,0,400,0.0,45195.601806640625,102811.99836730957,148007.6001739502,-0.002993555244555135,-0.013282665506998637,-0.00973705633379307,-0.04222259381862736
2022-01-21,110.78200073242186,0,400,0.0,44312.80029296874,102811.99836730957,147124.79866027832,-0.0059645687966991545,-0.019168008931477742,-0.019532907592396898,-0.06093077138765368
2022-01-24,111.2397029876709,0,400,0.0,44495.88119506836,102811.99836730957,147307.87956237793,0.0012443918616491523,-0.017947469584146947,0.0041315579446388195,-0.057050952455614534
2022-01-25,109.02299613952636,0,400,0.0,43609.19845581054,102811.99836730957,146421.19682312012,-0.006019248541842881,-0.023858687845865645,-0.019927299234071327,-0.07584138028851406
