index,close,RSI_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns,Market Daily Returns,Market Cumulative Returns
2021-10-18,108.43049736022948,0,400,400.0,43372.19894409179,106627.8010559082,150000.0,,,,,,
2021-10-19,109.45799598693849,0,400,0.0,43783.19839477539,106627.8010559082,150410.9994506836,0.002739996337890682,0.002739996337890682,0.009476103602987562,0.009476103602987562,0.007393339551406308,0.007393339551406308
2021-10-20,109.82000226974488,0,400,0.0,43928.00090789795,106627.8010559082,150555.80196380615,0.0009627122594184634,0.003705346425374456,0.003307262110386011,0.012814705671773785,0.0036640298040166996,0.01108445877189057
2021-10-21,109.72900323867798,0,400,0.0,43891.60129547119,106627.8010559082,150519.4023513794,-0.00024176824773258776,0.003462682342529444,-0.0008286198250423427,0.01197546732755983,0.002995871849622578,0.01411353823951611
2021-10-22,109.49550104141235,0,400,0.0,43798.20041656494,106627.8010559082,150426.00147247314,-0.0006205238490664122,0.0028400098164877985,-0.0021279897782149337,0.009821993877282553,-0.0010725536274130976,0.0130258470854685
2021-10-25,109.9609959602356,0,400,0.0,43984.398384094246,106627.8010559082,150612.19944000244,0.001237804406862164,0.004081329600016392,0.004251269818357217,0.014115019641766313,0.004748196569493546,0.01783589293740806
2021-10-26,110.09600343704224,0,400,0.0,44038.401374816895,106627.8010559082,150666.2024307251,0.00035855655068739445,0.004441349538167438,0.0012277760457486409,0.015360125770516486,0.0018197952535197182,0.019688145864237505
2021-10-27,109.76650304794312,0,400,0.0,43906.601219177246,106627.8010559082,150534.40227508545,-0.0008747824894587142,0.0035626818339031807,-0.0029928460508337196,0.012321309227930177,-0.005051568068462853,0.014537121786799556
2021-10-28,111.14899892807009,0,400,0.0,44459.599571228035,106627.8010559082,151087.40062713623,0.003673567926620658,0.007249337514241727,0.012594879510037238,0.025071374143099012,0.009829281576461124,0.024509292826614404
2021-10-29,111.38149862289428,0,400,0.0,44552.599449157715,106627.8010559082,151180.40050506592,0.000615536951086959,0.007869336700439655,0.002091783975262329,0.02721560201703177,0.001949334719149265,0.026506404361212432
2021-11-01,111.26349620819092,0,400,0.0,44505.39848327637,106627.8010559082,151133.19953918457,-0.0003122161716971883,0.007554663594564026,-0.0010594435894859533,0.026127325032454962,0.0018000771431341267,0.02835419507698389
2021-11-02,112.16400232315064,0,400,0.0,44865.600929260254,106627.8010559082,151493.40198516846,0.0023833442756600043,0.009956013234456718,0.008093455137116567,0.03443224050257454,0.0036803630854131963,0.03213891189527507
2021-11-03,112.5075023651123,0,400,0.0,45003.00094604492,106627.8010559082,151630.80200195312,0.0009069703035524679,0.01087201334635468,0.0030624802507672744,0.037600168809870604,0.006461279195357994,0.038807849573423425
2021-11-04,113.33450136184692,0,400,0.0,45333.80054473877,106627.8010559082,151961.60160064697,0.002181612141638478,0.013077344004313707,0.007350611997863243,0.04522716505970936,0.004181942361150437,0.043152084124650214
2021-11-05,113.89900083541868,0,400,0.0,45559.60033416747,106627.8010559082,152187.40139007568,0.0014859003001437276,0.014582675933838551,0.004980826374922254,0.050433260091224064,0.003732799652949259,0.04704596186224408
2021-11-08,114.713498210907,0,400,0.0,45885.3992843628,106627.8010559082,152513.200340271,0.002140774776489218,0.01675466893514055,0.00715104934647548,0.05794496016931561,0.0008877879113036169,0.047975516609764624
2021-11-09,114.59049644470215,0,400,0.0,45836.19857788086,106627.8010559082,152463.99963378906,-0.00032259965938796764,0.016426664225260845,-0.0010722518981917117,0.056810576677591706,-0.003498775895770745,0.04430888513289255
2021-11-10,113.28000001907348,0,400,0.0,45312.000007629395,106627.8010559082,151939.8010635376,-0.003438179317809875,0.012932007090250996,-0.011436344778042562,0.04472452655762482,-0.008225823395229703,0.035718584673720244
2021-11-11,113.6025013923645,0,400,0.0,45441.0005569458,106627.8010559082,152068.801612854,0.0008490240767293766,0.013792010752360362,0.002846940088600869,0.04769879469382632,0.0005509400447352153,0.036289203517093416
2021-11-12,114.5229995727539,0,400,0.0,45809.19982910156,106627.8010559082,152437.00088500977,0.0024212676647057396,0.016246672566732068,0.008102798522104271,0.05618808693908184,0.007222656026415475,0.0437739639779855
2021-11-15,114.59499893188476,0,400,0.0,45837.999572753906,106627.8010559082,152465.8006286621,0.00018892882623733342,0.01643867085774775,0.0006286890790450084,0.05685210085475778,-1.0739820344718431e-05,0.04376275403313179
2021-11-16,114.89899711608886,0,400,0.0,45959.59884643555,106627.8010559082,152587.39990234375,0.0007975511437992022,0.017249332682292007,0.002652804983093615,0.05965572337429825,0.003865229864862485,0.04779713700185173
2021-11-17,114.92549953460691,0,400,0.0,45970.199813842766,106627.8010559082,152598.00086975098,6.947472343066252e-05,0.017320005798340032,0.00023065839722935522,0.05990014186506665,-0.002601625374463401,0.04507116138293754
2021-11-18,115.6520043373108,0,400,0.0,46260.80173492432,106627.8010559082,152888.60279083252,0.0019043625697927613,0.01925735193888367,0.006321528343543159,0.06660033065319215,0.0033847802152713324,0.048608497573537246
2021-11-19,116.05499906539916,0,400,0.0,46421.99962615966,106627.8010559082,153049.80068206787,0.0010543486453067352,0.020332004547119364,0.003484545991204735,0.07031694855958737,-0.001398665559303236,0.047141844982788506
2021-11-22,114.72999753952026,0,400,0.0,45891.999015808105,106627.8010559082,152519.8000717163,-0.003462929111894386,0.016798667144775514,-0.011417013799915998,0.058097125187598575,-0.0031971365563219223,0.0437939895105397
2021-11-23,115.0249979019165,0,400,0.0,46009.9991607666,106627.8010559082,152637.8002166748,0.0007736709915893147,0.017585334777832085,0.002571257462937071,0.06081776531724947,0.001657132912945114,0.04552369488489183
2021-11-24,115.913503074646,0,400,0.0,46365.4012298584,106627.8010559082,152993.2022857666,0.002328401409004144,0.01995468190511085,0.0077244528488245034,0.06901200212663805,0.0022938506357221833,0.04792197007706611
2021-11-26,112.71200380325315,0,400,0.0,45084.80152130126,106627.8010559082,151712.60257720947,-0.008370304624156888,0.01141735051473014,-0.027619726662312605,0.039486182829168825,-0.022724822637582465,0.024108129169038817
2021-11-29,115.27100038528442,0,400,0.0,46108.40015411377,106627.8010559082,152736.20121002197,0.006746958495366773,0.01824134140014677,0.022703851370597494,0.06308652262591208,0.013200199537034996,0.03762656082156979
2021-11-30,113.9635003566742,0,400,0.0,45585.40014266968,106627.8010559082,152213.20119857788,-0.0034242046567920514,0.014754674657186273,-0.011342835789053596,0.0510281067702103,-0.01896131033450521,0.01795180159050669
2021-12-01,112.2170021057129,0,400,0.0,44886.800842285156,106627.8010559082,151514.60189819336,-0.0045896104600883225,0.010097345987956086,-0.015325066758174799,0.0349210308692387,-0.011815187417889228,0.005924510272336869
2021-12-02,113.81800050735474,0,400,0.0,45527.200202941895,106627.8010559082,152155.0012588501,0.004226651112392732,0.014366675059001022,0.014266986032416273,0.04968623476130407,0.01419443613158311,0.020203041486591466
2021-12-03,111.97650275230409,0,400,0.0,44790.60110092163,106627.8010559082,151418.40215682983,-0.004841110025474271,0.009456014378865785,-0.016179319148482696,0.03270302616333187,-0.008448563730297565,0.01158379107274854
2021-12-06,112.87349872589112,0,400,0.0,45149.39949035645,106627.8010559082,151777.20054626465,0.0023695824571123847,0.011848003641764526,0.008010573214375372,0.04097556936312019,0.011730872577451423,0.023450551627238303
2021-12-07,116.1945017814636,0,400,0.0,46477.80071258544,106627.8010559082,153105.60176849365,0.008752310738687541,0.020704011789957955,0.02942234530744381,0.07160351202153481,0.020707080374404274,0.04464322445901181
2021-12-08,116.92099924087525,0,400,0.0,46768.3996963501,106627.8010559082,153396.2007522583,0.001898029728553352,0.022641338348388995,0.006252425444174925,0.0783036330861655,0.0030852853123166657,0.047866246856046235
2021-12-09,115.32300138473512,0,400,0.0,46129.20055389405,106627.8010559082,152757.00160980225,-0.004166981576606221,0.01838001073201534,-0.013667329791186678,0.06356610171774202,-0.007181080169894716,0.040341435330046194
2021-12-10,117.0585015296936,0,400,0.0,46823.40061187744,106627.8010559082,153451.20166778564,0.004544472925415599,0.023008011118571536,0.01504903726160034,0.07957174761266739,0.009549073338481762,0.050275731993074224
2021-12-13,115.73649883270264,0,400,0.0,46294.599533081055,106627.8010559082,152922.40058898926,-0.0034460536838363254,0.019482670593262252,-0.011293521441974153,0.06737958093285412,-0.009136167611567658,0.04068023686722366
2021-12-14,114.0734977722168,0,400,0.0,45629.39910888672,106627.8010559082,152257.20016479492,-0.004349921408716262,0.015048001098633357,-0.014368855782389889,0.052042557669362166,-0.0074706775774360246,0.032905650356378935
2021-12-15,116.87800121307372,0,400,0.0,46751.200485229485,106627.8010559082,153379.0015411377,0.007367805103000613,0.022526676940918477,0.02458505696438773,0.07790708387862355,0.016348464630746795,0.049792071848128616
2021-12-16,114.1744966506958,0,400,0.0,45669.79866027832,106627.8010559082,152297.59971618652,-0.0070505206976532175,0.015317331441244031,-0.023130995861653236,0.0529740195821804,-0.008743415379980468,0.04061330370135008
2021-12-17,113.39600200653076,0,400,0.0,45358.400802612305,106627.8010559082,151986.2018585205,-0.002044666877523471,0.013241345723470577,-0.006818463553614373,0.045794354606756515,-0.010287680637092622,0.02990780636616064
2021-12-20,112.06250276565552,0,400,0.0,44825.00110626221,106627.8010559082,151452.8021621704,-0.0035095271138272377,0.009685347747803164,-0.011759667160033072,0.03349616107873943,-0.01138805785140995,0.018179156685644182
2021-12-21,114.62149772644042,0,400,0.0,45848.59909057617,106627.8010559082,152476.40014648438,0.0067585278694146655,0.016509334309896317,0.02283542574572217,0.057096485923541884,0.017777934551572505,0.036280279094976775
2021-12-22,116.07049856185914,0,400,0.0,46428.19942474365,106627.8010559082,153056.00048065186,0.003801246183741558,0.020373336537679476,0.012641614916574895,0.07045989262825181,0.010180197220578835,0.04682981671196007
2021-12-23,116.702001953125,0,400,0.0,46680.80078125,106627.8010559082,153308.6018371582,0.0016503851904734468,0.02205734558105532,0.005440688194591647,0.07628393112885812,0.006223699921661829,0.05334497136022365
2021-12-27,118.91249771118164,0,400,0.0,47564.999084472656,106627.8010559082,154192.80014038086,0.005767440917384681,0.027952000935873134,0.018941369651435114,0.09667022291826965,0.01383893524747526,0.06792214421213139
