index,close,model_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns
2022-01-10,117.97000408172607,1,800,800.0,94376.00326538086,55623.99673461914,150000.0,,,,
2022-01-11,119.35999813079835,1,800,0.0,95487.99850463867,55623.99673461914,151111.9952392578,0.0074133015950521575,0.0074133015950521575,0.011782605755521702,0.011782605755521702
2022-01-12,120.0080032348633,1,800,0.0,96006.40258789064,55623.99673461914,151630.39932250977,0.0034305951849233907,0.01086932881673186,0.005428997270549907,0.0172755707605583
2022-01-13,117.20799713134767,1,800,0.0,93766.39770507814,55623.99673461914,149390.39443969727,-0.014772795513438797,-0.004064037068684856,-0.02333182811179546,-0.006459327998755704
2022-01-14,118.07499675750734,1,800,0.0,94459.99740600587,55623.99673461914,150083.994140625,0.004642866788920008,0.0005599609374999925,0.007397102991087534,0.0008899946778717638
2022-01-18,115.47199935913085,1,800,0.0,92377.59948730467,55623.99673461914,148001.59622192383,-0.013874883398625526,-0.013322691853841162,-0.022045288755944692,-0.021174914267737877
2022-01-19,114.10000267028809,1,800,0.0,91280.00213623047,55623.99673461914,146903.9988708496,-0.007416118333132049,-0.020640007527669257,-0.011881639674183653,-0.032804961240460506
2022-01-20,112.98900451660155,1,800,0.0,90391.20361328125,55623.99673461914,146015.2003479004,-0.006050199652703814,-0.026565331013997384,-0.00973705633379307,-0.04222259381862736
2022-01-21,110.78200073242186,1,800,0.0,88625.60058593749,55623.99673461914,144249.59732055664,-0.012091912507307234,-0.03833601786295571,-0.019532907592396898,-0.06093077138765368
2022-01-24,111.2397029876709,1,800,0.0,88991.76239013672,55623.99673461914,144615.75912475586,0.0025383904773441657,-0.035894939168294115,0.0041315579446388195,-0.057050952455614534
2022-01-25,109.02299613952636,1,800,0.0,87218.39691162108,55623.99673461914,142842.39364624023,-0.012262601871665946,-0.04771737569173162,-0.019927299234071327,-0.07584138028851406
2022-01-26,109.56699542999269,1,800,0.0,87653.59634399416,55623.99673461914,143277.59307861328,0.0030467105826499363,-0.04481604614257795,0.004989766468810997,-0.07123004459601501
2022-01-27,108.8650032043457,1,800,0.0,87092.00256347656,55623.99673461914,142715.9992980957,-0.003919620426687698,-0.048560004679361835,-0.006406967927632179,-0.07718064391243673
2022-01-28,113.01249961853028,1,800,0.0,90409.99969482423,55623.99673461914,146033.99642944336,0.023248949996259594,-0.02644002380371091,0.03809760981129551,-0.04202343215790183
2022-01-31,115.45000095367432,1,800,0.0,92360.00076293945,55623.99673461914,147983.9974975586,0.013353062408706817,-0.013440016682942701,0.021568422460982006,-0.02136138883496186
2022-02-01,115.7099998474121,1,800,0.0,92567.99987792969,55623.99673461914,148191.99661254883,0.0014055514008781689,-0.012053355916341046,0.0022520475668259543,-0.01915744813188569
2022-02-02,116.45200347900389,1,800,0.0,93161.60278320311,55623.99673461914,148785.59951782227,0.004005634034511596,-0.008096003214517977,0.006412614575838527,-0.012867682887173548
2022-02-03,113.43200397491454,1,800,0.0,90745.60317993163,55623.99673461914,146369.59991455078,-0.016238127957955206,-0.0242026672363278,-0.025933426766967194,-0.03846740654232572
2022-02-04,114.13100357055663,1,800,0.0,91304.8028564453,55623.99673461914,146928.79959106445,0.0038204632440077546,-0.020474669392903433,0.006162278467694904,-0.032542174945674684
2022-02-07,113.72199592590333,1,800,0.0,90977.59674072266,55623.99673461914,146601.5934753418,-0.0022269705914248483,-0.0226560434977211,-0.0035836681695385897,-0.036009222758692894
2022-02-08,114.91499996185303,1,800,0.0,91931.99996948242,55623.99673461914,147555.99670410156,0.006510183185152618,-0.01629335530598941,0.010490530228883799,-0.02589644836967775
2022-02-09,117.18999862670898,1,800,0.0,93751.99890136719,55623.99673461914,149375.99563598633,0.012334293234686156,-0.004160029093424278,0.019797229827360763,-0.006611896482403901
2022-02-10,114.42400207519532,1,800,0.0,91539.20166015625,55623.99673461914,147163.1983947754,-0.014813606642685051,-0.018912010701497173,-0.02360266732594074,-0.03005850541527688
2022-02-11,111.44099960327148,1,800,0.0,89152.79968261719,55623.99673461914,144776.79641723633,-0.016216024138979157,-0.034821357218424165,-0.02606972678654884,-0.05534461517803746
2022-02-14,111.36099777221679,1,800,0.0,89088.79821777344,55623.99673461914,144712.79495239258,-0.0004420699064185962,-0.035248033650715827,-0.0007178850812492588,-0.05602276918572291
2022-02-15,113.94900245666504,1,800,0.0,91159.20196533203,55623.99673461914,146783.19869995117,0.014306984729579142,-0.021445342000325218,0.023239776368939147,-0.034084949444228685
2022-02-16,113.87900028228759,1,800,0.0,91103.20022583008,55623.99673461914,146727.19696044922,-0.00038152690497250674,-0.021818686930338282,-0.0006143289793526518,-0.03467833905137796
2022-02-17,110.79799957275391,1,800,0.0,88638.39965820312,55623.99673461914,144262.39639282227,-0.016798525554136634,-0.03825069071451792,-0.027055038258997577,-0.06079515352058207
