index,SMA_30,SMA_100,SMA_200,EMA_50,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,RSI_14,HLC3,OHLC4,LR_14,STOCHk_14_3_3,STOCHd_14_3_3
2018-10-16,62.990858730475104,62.527957659482944,61.1063864415884,62.6999291892156,-0.7655497749915838,-0.33670047153250127,-0.42884930345908256,59.60135353852725,62.814812833070754,66.02827212761426,10.231533454006192,0.30001061876369883,44.382558364422216,61.26033190091451,61.109749531745905,60.35682506351677,33.202590317174334,22.370260476587273
2018-10-17,62.91547539949417,62.529292678117756,61.115370222687716,62.64240262697325,-0.7471309959933237,-0.25462535402739284,-0.49250564196593083,59.434167776635334,62.709212964773165,65.984258152911,10.445180327737758,0.2746273672674115,42.91688294902487,61.19966882864634,61.29175173640251,60.24975366492852,35.77568476223283,29.7300793317392
2018-10-18,62.818508699735006,62.52248766422271,61.117222564697265,62.54566136195752,-0.808545108000402,-0.25283157282757696,-0.5557135351728251,59.12113545591904,62.51966285467148,65.91819025342393,10.871867324852367,0.15512084933315043,38.0858828507811,60.36066692670187,60.51400072574615,59.98822362532976,36.59073862812529,35.189671235844145
2018-10-19,62.72924204190572,62.51192769908905,61.118427734136574,62.45277274086003,-0.8473276380082666,-0.23329128226835316,-0.6140363557399134,58.84429059441768,62.34343790054321,65.84258520666874,11.22539091189594,0.19043367040033737,38.096535387437726,60.408166893323255,60.42649970054626,59.849546649691845,29.066210361896882,33.81087791741833
2018-10-22,62.649658687114716,62.505422665357585,61.11857196986675,62.38129136135031,-0.831920219481745,-0.1743070909934652,-0.6576131284882798,58.68253768591442,62.17878766655922,65.67503764720402,11.245796554908203,0.27850695577101475,41.3744945093973,60.56699934005737,60.5283738553524,59.91421779941725,25.711432705697643,30.456127231906606
2018-10-23,62.548608616193135,62.48909268903733,61.11784110617637,62.30378972792988,-0.8283168546549575,-0.13656298093334218,-0.6917538737216153,58.51619531823868,62.007412688732146,65.49863005922562,11.260645200659651,0.2705079905442372,40.23487496719226,60.05550009409586,59.93762555718421,60.032406191092235,27.784634664584445,27.520759244059658
2018-10-24,62.379391968250275,62.44738265013695,61.10703641211986,62.14281752941537,-0.9920314884639794,-0.2402220917938911,-0.7518093966700883,57.9583513116231,61.7360876095295,65.5138239074359,12.238340472107527,0.031850734832906846,31.16977051759301,58.93499799569448,59.28168581724167,59.63590513203169,20.56989922446471,24.688655531582267
2018-10-25,62.24190872430801,62.41904264855385,61.10662182962894,62.05053066838,-0.9821149327429595,-0.18424442885829684,-0.7978705038846626,57.80063314920664,61.52958763957023,65.25854212993383,12.120849930629051,0.26667922992172743,41.41798432152877,59.544499293963106,59.37337406873702,59.65744821475103,22.107280330588015,23.487271406545727
2018-10-26,62.0767585849762,62.37811264181137,61.10269235801697,61.92543132651524,-1.0372620292299075,-0.19151322027619577,-0.8457488089537117,57.564004103711895,61.26648744225503,64.96897078079816,12.086488039755181,0.17508429188864374,37.87111563267455,58.9138330300649,58.83018727302551,59.487169089317284,17.568324195199903,20.081834583417542
2018-10-29,61.907158627510064,62.33164263534546,61.09085360908509,61.77125760719767,-1.1377699793453218,-0.23361693631328795,-0.9041530430320338,57.270960232670554,60.94773743391037,64.62451463515018,12.065344362378612,0.09832540995452134,34.87153630000435,58.27416551907857,58.57668638825417,59.222619721286925,23.50212069862899,21.059241741472302
2018-10-30,61.74089197953542,62.29095264959336,61.08431091308593,61.641678937641224,-1.1658172869687107,-0.20933139514934151,-0.9564858918193692,57.17757424166589,60.65333762049676,64.12910099932762,11.461078698021364,0.18548835914660702,37.76912975394179,58.207666516304016,58.138811910152434,58.89071039639983,22.125391892349572,21.065278928726155
2018-10-31,61.615092075665785,62.26256265640259,61.08056489753722,61.56047592447484,-1.0864375847853438,-0.10396135437277976,-0.982476230412564,57.38603135854938,60.407362716197966,63.42869407384655,10.003189087539583,0.36159071692310396,44.0284444774691,59.5451664686203,59.44624927043915,58.76568872294578,35.0277340546586,26.88508221521239
