index,SMA_200,EMA_50,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2019-06-03,49.031653920292854,50.47957133773899,50.450657487690265,50.79405006408691,51.137442640483556,1.352097641213437,-0.06939370084087693
2019-06-04,49.03781391441822,50.49001951324255,50.464921306807696,50.775650036334994,51.08637876586229,1.2239281202897103,0.45228921493634294
2019-06-05,49.04541891777515,50.51248937036053,50.45239813896002,50.78640002250672,51.12040190605342,1.3153201778376893,0.914070789522331
2019-06-06,49.053768913865085,50.540195649217026,50.421584027605064,50.80464994907379,51.18771587054252,1.5079955155786322,1.0408331946348932
2019-06-07,49.064588917851445,50.585913476020146,50.301932489282834,50.850399885177616,51.3988672810724,2.15718026655934,1.279991986691451
2019-06-10,49.07548391497136,50.632387446282586,50.21582777441806,50.89559982299805,51.57537187157804,2.671240936128332,1.1438922404525265
2019-06-11,49.085973914742475,50.67570558519527,50.210727970502674,50.95734987735749,51.7039717842123,2.930379655346121,1.02211842703809
2019-06-12,49.09637391674518,50.71771714688065,50.20022649895811,51.01034992694855,51.82047335493899,3.176310020027742,0.9546532391066422
2019-06-13,49.10664390957355,50.76317919516786,50.160566514359985,51.054299879074094,51.9480332437882,3.5011090812369683,0.960260034822258
2019-06-14,49.115848907589914,50.8034858404396,50.139844933873526,51.08964988708496,52.03945484029639,3.7181893213620807,0.8692067303612379
2019-06-17,49.125313923478124,50.846957047081276,50.130423382396515,51.140299968719475,52.150176555042435,3.9494355212646868,0.8820772020730757
2019-06-18,49.136238932728766,50.90350779360256,50.120955752166694,51.221650052070615,52.322344351974536,4.297769785959583,0.9848535289937353
2019-06-19,49.14794393122196,50.96152711047463,50.09814773266615,51.29655006885529,52.49495240504443,4.672448086978662,0.9532911327759479
2019-06-20,49.16145392811299,51.03378094165015,50.049641514416166,51.394900116920475,52.740158719424784,5.234988683483856,1.0237281835279908
2019-06-21,49.17497893297673,51.10002481327648,50.08841308039255,51.50060014724731,52.912787214102075,5.484157710073768,0.932803680746268
2019-06-24,49.19077393972874,51.17127877612588,50.11649163679628,51.60980013847351,53.10310864015074,5.786918366940202,0.9376860929923609
2019-06-25,49.205963928818704,51.230993291140415,50.19129953867303,51.705300073623654,53.21930060857428,5.856268246368654,0.8265186545674413
2019-06-26,49.22319392025471,51.30083665737997,50.26529105895611,51.81734993934631,53.369408819736506,5.990498866526089,0.8848594940555237
2019-06-27,49.238903928875914,51.35758818539627,50.37041850307555,51.91065001010895,53.450881517142356,5.93416382470057,0.7718262182869831
2019-06-28,49.25495893061161,51.41850628694672,50.53438555019822,52.022649965286256,53.51091438037429,5.7216017103362615,0.7984516059916875
2019-07-01,49.2710539342165,51.47621189507748,50.81325175658296,52.14699998378753,53.480748210992104,5.115340202194699,0.7785380686318686
2019-07-02,49.28754393351079,51.54192905501844,51.030190234760354,52.26729996681213,53.50440969886391,4.733780902542501,0.8575671114042333
2019-07-03,49.305913935780524,51.61801028230996,51.17294872477542,52.388249940872186,53.603551156968955,4.639594632263588,0.9499914900080509
2019-07-05,49.324923938393596,51.687539297728236,51.3317519304419,52.49684997558594,53.66194802072998,4.438735069574192,0.8837231568694277
2019-07-08,49.343358934044836,51.75340050203808,51.41533661064046,52.57989996433258,53.74446331802471,4.429690259898181,0.8379378377317991
2019-07-09,49.36262393534184,51.82099268214711,51.50021180850786,52.665200033187865,53.83018825786787,4.424129117314146,0.8484159944420182
2019-07-10,49.380853931546206,51.88475767979115,51.6202630578512,52.75070003986359,53.88113702187598,4.285960114872872,0.8079782833038482
2019-07-11,49.39900393784046,51.944022103354314,51.76896223132471,52.83315004348755,53.89733785565039,4.028485188889542,0.7644507063186418
2019-07-12,49.41765393793583,52.003393811455815,51.91082960238672,52.91220010757446,53.91357061276221,3.78502690552229,0.7725267768226473
2019-07-15,49.43725394928455,52.06522156945048,52.10247796705425,53.0016502571106,53.900822547166946,3.3929973338357238,0.8216020942843851
2019-07-16,49.4552239471674,52.11168348738721,52.31656806707433,53.06855020046235,53.820532333850366,2.8340029284669144,0.6206479970190885
2019-07-17,49.47313394510746,52.15930374368137,52.45223835718656,53.12040014743805,53.788561937689536,2.515650440873848,0.6538548585461276
2019-07-18,49.49244394385814,52.217291858792535,52.57035305342675,53.18315016269683,53.79594727196692,2.304478419933481,0.8711265192333119
2019-07-19,49.51123394596577,52.26728043608828,52.61662294805883,53.21755020141602,53.8184774547732,2.2583799933774293,0.728355742633324
2019-07-22,49.530818956732745,52.32252437885197,52.67770488341911,53.26520026683808,53.85269565025705,2.2059257469261104,0.8496203726178561
2019-07-23,49.5512689524889,52.38030773669365,52.701264100932725,53.30915022373199,53.917036346531255,2.280607063695598,0.9004448874739932
2019-07-24,49.57387394726276,52.440256419841035,52.77740989629333,53.369900236129766,53.962390575966204,2.2203164600833944,0.9549432155897741
2019-07-25,49.597523940205576,52.49605027869861,52.806798901635716,53.41245027065277,54.01810163966982,2.2678284405530285,0.8719545377959665
