index,close,RSI_signal,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns,Base Daily Returns,Base Cumulative Returns
2018-10-17,54.48750162124634,0,400,0.0,21795.000648498535,128107.0005607605,149902.00120925903,-0.0006533252716064419,-0.0006533252716064419,-0.004476261510577784,-0.004476261510577784
2018-10-18,53.7610002040863,0,400,0.0,21504.40008163452,128107.0005607605,149611.40064239502,-0.0019386036511837013,-0.00259066238403316,-0.013333358945508245,-0.017749936854631554
2018-10-19,53.895001125335696,0,400,0.0,21558.000450134277,128107.0005607605,149665.00101089478,0.00035826393088767006,-0.0022333265940347458,0.0024925302866520838,-0.01530164882317575
2018-10-22,53.91999802589416,0,400,0.0,21567.999210357662,128107.0005607605,149674.99977111816,6.680760468946723e-05,-0.002166668192545518,0.0004638074039617912,-0.014844938437231003
2018-10-23,53.818499898910524,0,400,0.0,21527.39995956421,128107.0005607605,149634.4005203247,-0.00027124937935885107,-0.002437329864501847,-0.0018823837295931511,-0.016699378296243128
2018-10-24,52.52999939918518,0,400,0.0,21011.999759674072,128107.0005607605,149119.00032043457,-0.003444396462965238,-0.00587333119710276,-0.023941590756813902,-0.04024115937199513
2018-10-25,53.81600170135498,0,400,0.0,21526.400680541992,128107.0005607605,149633.4012413025,0.0034496001164341372,-0.002443991724650041,0.02448129291601986,-0.016745022065841275
2018-10-26,52.884498071670535,0,400,0.0,21153.799228668213,128107.0005607605,149260.7997894287,-0.002490095451836427,-0.004928001403808557,-0.017309045641363374,-0.033764227356001375
2018-10-29,52.565001010894775,0,400,0.0,21026.00040435791,128107.0005607605,149133.0009651184,-0.0008562115739068066,-0.005779993565877217,-0.006041412368947285,-0.03960165610417221
2018-10-30,53.06050109863281,0,400,0.0,21224.200439453125,128107.0005607605,149331.20100021362,0.0013290152669935829,-0.004458659998575865,0.009426425914751402,-0.03054853226678822
2018-10-31,53.54000101089478,0,400,0.0,21416.00040435791,128107.0005607605,149523.0009651184,0.0012843931048576174,-0.0031799935658772815,0.00903685231638951,-0.021787742524976172
2018-11-01,53.9970003604889,0,400,0.0,21598.80014419556,128107.0005607605,149705.80070495605,0.0012225526417857235,-0.0019613286336264135,0.008535661953034346,-0.013438053376854775
2018-11-02,53.03799872398376,0,400,0.0,21215.199489593506,128107.0005607605,149322.200050354,-0.0025623633339235674,-0.00451866633097342,-0.017760276128354402,-0.030959665966608707
2018-11-05,53.30149850845337,0,400,0.0,21320.599403381348,128107.0005607605,149427.59996414185,0.0007058556179342368,-0.0038160002390544845,0.004968132109224088,-0.026145345567964218
2018-11-06,53.67899932861328,0,400,0.0,21471.599731445312,128107.0005607605,149578.6002922058,0.0010105250174679004,-0.002809331385294822,0.007082367864386319,-0.019248148658831732
2018-11-07,54.87899956703186,0,400,0.0,21951.599826812744,128107.0005607605,150058.60038757324,0.003209015824654937,0.00039066925048802936,0.022355115658404756,0.002676672410094616
2018-11-08,54.848999166488646,0,400,0.0,21939.59966659546,128107.0005607605,150046.60022735596,-7.996982636315764e-05,0.0003106681823727975,-0.0005466644942492271,0.0021285446740759717
2018-11-09,54.240998601913454,0,400,0.0,21696.39944076538,128107.0005607605,149803.40000152588,-0.0016208312981538242,-0.0013106666564943747,-0.011084989221583963,-0.008980039442277765
2018-11-12,53.03299779891968,0,400,0.0,21213.19911956787,128107.0005607605,149320.19968032837,-0.0032255631126703044,-0.004532002131144464,-0.0222709912083211,-0.031051036271129484
2018-11-13,53.00749998092652,0,400,0.0,21202.999992370605,128107.0005607605,149310.0005531311,-6.83037339830328e-05,-0.004599996312459553,-0.0004807915647130345,-0.03151689875952779
